Los Angeles,787176672000,0.032,5957,2249032158,16052,3277468690,1965018,1545580,58300,21825.86,3200.08,222610547,11856763,6479206,1107381,283930,158309,58567,237814,10253716,183450,1046858,17685,20410,1395377,832355,5114541,213250,24597,2724168,714646,1542152,6548834,1519066,6214113,1553974,2682019,899159,222085,4896500,239800,0.047,1490853,0.149,457665,0.209,Los Angeles
Madera,7201526000,0.066,503,122116839,0,   -   ,41091,5993,3412,2515.94,2111.204,4717693,1293146,81173,34485,25661,3648,896,2969,159536,7404,74375,668,1830,2784,5012,92094,2455,112,55965,13309,28477,94956,23510,88431,14764,18152,22011,2922,57200,4300,0.07,31569,0.212,12075,0.286,Madera
Marin,23648191000,0.046,108,86904652,56,12725000,80104,30298,1992,1280.98,444.53,8024023,1204939,197609,32095,10742,7374,528,4694,262879,8283,69343,5091,600,15521,7027,44751,7704,459,186587,12991,37403,149241,63014,182127,41908,89526,23380,6571,137700,3400,0.024,20222,0.079,4262,0.082,San Rafael
Mariposa,910996000,0.018,34,9381880,2,275233,7254,838,2397,1103.37,962.492,558760,220286,13585,7817,5824,1024,67,211,18068,716,18068,716,471,223,138,1846,552,30,14667,920,1887,9865,5255,14939,2450,3010,4623,674,7260,410,0.053,2641,0.152,600,0.212,Mariposa
Mendocino,4050620000,0.031,140,16896981,0,   -   ,29875,5344,5541,1693.03,1013.925,3457128,1037948,59669,32943,20209,3645,369,1199,89009,1964,59776,883,3595,1495,612,22179,2655,98,58765,6065,12948,50588,19798,64438,12777,23284,9739,3879,38150,1560,0.039,14156,0.163,4230,0.228,Ukiah
Merced,9799550000,-0.007,630,143448750,0,   -   ,66071,15195,5689,3086.07,2232.67,7645950,1651140,146284,55173,29216,4652,1548,6761,282928,7092,96214,5628,1219,20782,9673,163069,5081,562,83887,25109,55649,170962,32553,157445,25546,41741,26607,4377,105800,9600,0.083,61297,0.23,26862,0.337,Merced
Modoc,455169000,0.036,6,1008000,0,   -   ,4055,280,937,1670.18,1193.789,500176,299363,5104,4205,3991,230,51,132,9602,350,6847,309,283,74,75,1436,238,22,7395,529,1264,5140,2590,7307,1133,1048,2425,324,2940,240,0.076,1658,0.192,475,0.297,Alturas
Mono,1144985000,-0.035,64,17276462,7,1451668,5801,7250,1055,1240.88,803.6,1051915,180908,9169,4325,3240,656,41,133,13616,336,5612,178,203,202,43,4025,255,12,9222,839,1984,8913,2226,9472,1973,2289,2026,411,8200,330,0.038,1313,0.093,329,0.126,Bridgeport
Monterey,27423193000,0.027,571,187468648,161,37804550,98131,37149,5727,2427.99,1228.98,10542676,2060660,271794,82703,35765,8425,1750,9030,445414,20470,107946,3662,1431,24224,11226,262600,10096,1940,135947,36909,78750,267555,64250,246162,50486,92437,38251,8256,210000,14000,0.063,49860,0.119,18275,0.162,Salinas
Napa,11316865000,0.052,102,42362621,167,35717855,40418,10961,3801,915.67,471.946,2945997,646798,97007,30934,16334,4086,683,2033,140779,4861,26158,2586,556,9904,2539,49638,3121,333,75014,8224,20117,85376,27388,93704,21458,35404,16939,4074,72400,2200,0.029,9301,0.068,2521,0.086,Napa
Nevada,4761492000,0.029,390,125630422,151,22079339,45612,5196,3176,1247.4,678.04,2860697,635261,72476,29623,24759,5481,250,1289,98904,1195,66579,418,889,1212,409,9687,2625,106,84205,4876,10847,55160,28250,78164,7845,24677,22252,4317,47180,1690,0.035,10889,0.11,2451,0.144,Nevada City
Orange,260484674000,0.028,4085,1258123374,3430,563409352,685476,385169,33519,6409.65,319.438,75480740,1232237,2325038,419266,108784,62380,7362,61590,3222498,50835,129128,768,6881,589727,49330,1147397,84070,9315,1350200,227437,494264,2012439,502780,2013804,453343,529651,541711,63609,1577900,47500,0.029,362109,0.115,108596,0.157,Santa Ana
Placer,24748629000,0.047,1881,641227607,6,883380,135418,27843,4287,2910.36,1653.901,10323105,2097909,292264,81995,50389,13726,688,6324,396691,3986,116170,2102,2491,25785,5138,53693,12179,810,294018,22477,53234,235808,82595,273030,59496,66540,97801,13242,179400,5800,0.031,29873,0.078,6132,0.072,Auburn
Plumas,1206345000,-0.052,41,8700934,0,   -   ,12697,998,2200,1009.91,610.565,871356,363064,14944,9351,7880,973,130,341,19779,297,17803,273,457,142,190,1757,621,18,16311,994,2187,10292,6023,15983,2900,3432,5194,846,7260,590,0.075,2640,0.143,680,0.22,Quincy
Riverside,90768490000,0.035,7676,2127544804,1556,220006052,632023,135513,80315,9397.01,2398.563,56857524,4947755,1443593,387596,164078,50392,7360,60306,2440124,33131,394200,4169,12113,148468,146811,1162158,55285,6736,924582,185670,413228,1478550,378705,1468206,272857,390315,340503,52057,1044600,47800,0.044,309235,0.129,98029,0.162,Riverside
Sacramento,96628861000,0.033,3578,944730796,1089,133845695,407008,152535,14906,4904.97,2042.798,35843199,8978223,965955,217308,102057,32674,6917,35430,1546174,23011,594216,6924,8822,223884,154814,356886,70916,15511,722619,118239,245872,965570,223771,1007281,211566,328290,196804,42271,683500,27000,0.038,213232,0.141,65306,0.182,Sacramento
San Benito,2759377000,0.005,551,173757439,2,631259,15977,2565,853,645.22,432.584,1560221,365741,40470,15892,8465,2489,149,667,62296,436,20066,195,256,1600,464,35453,1036,84,22889,4380,9710,39059,8633,34141,7977,13834,7874,1300,29300,1600,0.051,5029,0.084,1824,0.119,Hollister
San Bernardino,96340623000,0.032,3915,952758914,1662,238545880,539708,140115,43960,11718.51,2738.892,59199674,3364293,1305970,360132,172258,44941,10577,52072,2192203,37013,312654,4058,9015,137980,185107,1125926,48900,6447,687051,181920,397651,1354200,266655,1327030,254778,373846,278145,52068,922300,38800,0.04,339748,0.16,129269,0.23,San Bernardino
San Diego,245138815000,0.041,3489,1142661996,6345,1067514841,726941,446284,46235,9120.59,1962.225,81253403,5459613,2254775,476128,175271,86580,11379,56495,3351786,109789,515403,25078,15324,360173,161578,1149123,108674,14844,1557657,258743,544174,2055314,509142,2214593,552538,623925,475149,91185,1539500,52700,0.033,385479,0.119,112637,0.157,San Diego
San Francisco,183171673000,0.074,28,7592371,5150,994039568,125465,273305,602,994.41,885.404,9648729,5403352,408998,53668,8318,22004,6290,50356,883869,25803,0,,2102,284464,46647,136733,31679,3443,390250,51024,82949,608141,153204,654080,162219,280182,31823,18314,562000,13500,0.024,87314,0.101,14234,0.123,San Francisco
San Joaquin,32328427000,0.044,2920,940995953,360,62807833,192517,45243,8761,3629.91,1701.439,18586806,3140995,447232,135641,85319,15168,5950,22123,770385,15827,159808,5434,3575,109101,56396,312861,25802,3813,258382,61455,139083,468320,101072,452747,90030,143400,99566,15654,306800,19600,0.06,113375,0.155,43313,0.216,Stockton
San Luis Obispo,18520901000,0.025,692,221713347,358,48593153,89963,22010,10837,2568.33,1354.88,8973847,1656165,188297,66406,44932,10959,746,5569,280393,16186,121855,12620,1475,8968,5274,63673,6705,375,194567,15203,35749,167786,62299,209660,42875,58493,58641,9048,136800,4200,0.029,31826,0.119,6083,0.123,San Luis Obispo
